,SalesOrderID,SalesReasonID,ModifiedDate
192,43838,5,2011-06-30
193,43838,9,2011-06-30
194,43839,5,2011-06-30
195,43839,9,2011-06-30
196,43841,5,2011-06-30
197,43841,9,2011-06-30
198,43842,5,2011-06-30
199,43842,9,2011-06-30
200,43918,5,2011-07-01
201,43918,9,2011-07-01
202,43919,5,2011-07-01
203,43919,9,2011-07-01
204,43920,5,2011-07-01
205,43920,9,2011-07-01
206,43921,5,2011-07-01
207,43921,9,2011-07-01
208,43922,5,2011-07-01
209,43922,9,2011-07-01
210,43923,5,2011-07-02
211,43923,9,2011-07-02
212,43924,5,2011-07-02
213,43924,9,2011-07-02
214,43925,5,2011-07-02
215,43925,9,2011-07-02
216,43927,5,2011-07-03
217,43927,9,2011-07-03
218,43928,5,2011-07-03
219,43928,9,2011-07-03
220,43930,5,2011-07-04
221,43930,9,2011-07-04
222,43931,5,2011-07-04
223,43931,9,2011-07-04
224,43932,5,2011-07-04
225,43932,9,2011-07-04
226,43936,5,2011-07-05
227,43936,9,2011-07-05
228,43937,5,2011-07-05
229,43937,9,2011-07-05
230,43938,5,2011-07-05
231,43938,9,2011-07-05
232,43939,5,2011-07-05
233,43939,9,2011-07-05
234,43941,5,2011-07-06
235,43941,9,2011-07-06
236,43942,5,2011-07-06
237,43942,9,2011-07-06
238,43945,5,2011-07-06
239,43945,9,2011-07-06
240,43946,5,2011-07-06
241,43946,9,2011-07-06
242,43947,5,2011-07-06
243,43947,9,2011-07-06
244,43949,5,2011-07-07
245,43949,9,2011-07-07
246,43950,5,2011-07-07
247,43950,9,2011-07-07
248,43951,5,2011-07-07
249,43951,9,2011-07-07
250,43952,5,2011-07-07
251,43952,9,2011-07-07
252,43954,5,2011-07-08
253,43954,9,2011-07-08
254,43955,5,2011-07-08
255,43955,9,2011-07-08
256,43957,5,2011-07-09
257,43957,9,2011-07-09
258,43958,5,2011-07-09
259,43958,9,2011-07-09
260,43961,5,2011-07-10
261,43961,9,2011-07-10
262,43962,5,2011-07-10
263,43962,9,2011-07-10
264,43963,5,2011-07-10
265,43963,9,2011-07-10
266,43964,5,2011-07-10
267,43964,9,2011-07-10
268,43967,5,2011-07-11
269,43967,9,2011-07-11
270,43968,5,2011-07-11
271,43968,9,2011-07-11
272,43969,5,2011-07-11
273,43969,9,2011-07-11
274,43970,5,2011-07-11
275,43970,9,2011-07-11
276,43971,5,2011-07-11
277,43971,9,2011-07-11
278,43972,5,2011-07-12
279,43972,9,2011-07-12
280,43973,5,2011-07-12
281,43973,9,2011-07-12
282,43974,5,2011-07-12
283,43974,9,2011-07-12
284,43975,5,2011-07-12
285,43975,9,2011-07-12
286,43976,5,2011-07-12
287,43976,9,2011-07-12
288,43977,5,2011-07-12
289,43977,9,2011-07-12
290,43978,5,2011-07-13
291,43978,9,2011-07-13
292,43981,5,2011-07-13
293,43981,9,2011-07-13
294,43983,5,2011-07-14
295,43983,9,2011-07-14
296,43984,5,2011-07-14
297,43984,9,2011-07-14
298,43985,5,2011-07-14
299,43985,9,2011-07-14
300,43986,5,2011-07-14
301,43986,9,2011-07-14
302,43987,5,2011-07-15
303,43987,9,2011-07-15
304,43989,5,2011-07-15
305,43989,9,2011-07-15
306,43991,5,2011-07-15
307,43991,9,2011-07-15
308,43992,5,2011-07-15
309,43992,9,2011-07-15
310,43993,5,2011-07-17
311,43993,9,2011-07-17
312,43994,5,2011-07-18
313,43994,9,2011-07-18
314,43995,5,2011-07-18
315,43995,9,2011-07-18
316,43996,5,2011-07-18
317,43996,9,2011-07-18
318,43997,5,2011-07-18
319,43997,9,2011-07-18
320,43999,5,2011-07-18
321,43999,9,2011-07-18
322,44000,5,2011-07-19
323,44000,9,2011-07-19
324,44001,5,2011-07-19
325,44001,9,2011-07-19
326,44004,5,2011-07-19
327,44004,9,2011-07-19
328,44006,5,2011-07-19
329,44006,9,2011-07-19
330,44008,5,2011-07-20
331,44008,9,2011-07-20
332,44009,5,2011-07-20
333,44009,9,2011-07-20
334,44010,5,2011-07-20
335,44010,9,2011-07-20
336,44011,5,2011-07-20
337,44011,9,2011-07-20
338,44013,5,2011-07-20
339,44013,9,2011-07-20
340,44014,5,2011-07-21
341,44014,9,2011-07-21
342,44015,5,2011-07-21
343,44015,9,2011-07-21
344,44017,5,2011-07-21
345,44017,9,2011-07-21
346,44019,5,2011-07-21
347,44019,9,2011-07-21
348,44020,5,2011-07-21
349,44020,9,2011-07-21
350,44022,5,2011-07-22
351,44022,9,2011-07-22
352,44024,5,2011-07-22
353,44024,9,2011-07-22
354,44025,5,2011-07-22
355,44025,9,2011-07-22
356,44026,5,2011-07-22
357,44026,9,2011-07-22
358,44027,5,2011-07-23
359,44027,9,2011-07-23
360,44028,5,2011-07-23
361,44028,9,2011-07-23
362,44030,5,2011-07-24
363,44030,9,2011-07-24
364,44031,5,2011-07-24
365,44031,9,2011-07-24
366,44033,5,2011-07-24
367,44033,9,2011-07-24
368,44034,5,2011-07-24
369,44034,9,2011-07-24
370,44035,5,2011-07-24
371,44035,9,2011-07-24
372,44036,5,2011-07-24
373,44036,9,2011-07-24
374,44041,5,2011-07-25
375,44041,9,2011-07-25
376,44042,5,2011-07-26
377,44042,9,2011-07-26
378,44043,5,2011-07-26
379,44043,9,2011-07-26
380,44044,5,2011-07-26
381,44044,9,2011-07-26
382,44046,5,2011-07-26
383,44046,9,2011-07-26
384,44048,5,2011-07-26
385,44048,9,2011-07-26
386,44049,5,2011-07-27
387,44049,9,2011-07-27
388,44050,5,2011-07-27
389,44050,9,2011-07-27
390,44051,5,2011-07-28
391,44051,9,2011-07-28
392,44052,5,2011-07-28
393,44052,9,2011-07-28
394,44054,5,2011-07-29
395,44054,9,2011-07-29
396,44055,5,2011-07-29
397,44055,9,2011-07-29
398,44056,5,2011-07-29
399,44056,9,2011-07-29
400,44059,5,2011-07-29
401,44059,9,2011-07-29
402,44061,5,2011-07-30
403,44061,9,2011-07-30
404,44062,5,2011-07-30
405,44062,9,2011-07-30
406,44064,5,2011-07-30
407,44064,9,2011-07-30
408,44065,5,2011-07-30
409,44065,9,2011-07-30
410,44067,5,2011-07-30
411,44067,9,2011-07-30
412,44068,5,2011-07-31
413,44068,9,2011-07-31
414,44071,5,2011-07-31
415,44071,9,2011-07-31
416,44072,5,2011-07-31
417,44072,9,2011-07-31
418,44134,5,2011-08-01
419,44134,9,2011-08-01
420,44135,5,2011-08-01
421,44135,9,2011-08-01
422,44136,5,2011-08-01
423,44136,9,2011-08-01
424,44137,5,2011-08-01
425,44137,9,2011-08-01
426,44138,5,2011-08-02
427,44138,9,2011-08-02
428,44139,5,2011-08-02
429,44139,9,2011-08-02
430,44140,5,2011-08-02
431,44140,9,2011-08-02
432,44141,5,2011-08-02
433,44141,9,2011-08-02
434,44142,5,2011-08-02
435,44142,9,2011-08-02
436,44143,5,2011-08-02
437,44143,9,2011-08-02
438,44144,5,2011-08-02
439,44144,9,2011-08-02
440,44145,5,2011-08-02
441,44145,9,2011-08-02
442,44146,5,2011-08-02
443,44146,9,2011-08-02
444,44147,5,2011-08-02
445,44147,9,2011-08-02
446,44148,5,2011-08-03
447,44148,9,2011-08-03
448,44149,5,2011-08-03
449,44149,9,2011-08-03
450,44150,5,2011-08-03
451,44150,9,2011-08-03
452,44153,5,2011-08-04
453,44153,9,2011-08-04
454,44154,5,2011-08-04
455,44154,9,2011-08-04
456,44155,5,2011-08-04
457,44155,9,2011-08-04
458,44157,5,2011-08-04
459,44157,9,2011-08-04
460,44158,5,2011-08-05
461,44158,9,2011-08-05
462,44159,5,2011-08-05
463,44159,9,2011-08-05
464,44160,5,2011-08-05
465,44160,9,2011-08-05
466,44161,5,2011-08-06
467,44161,9,2011-08-06
468,44162,5,2011-08-06
469,44162,9,2011-08-06
470,44163,5,2011-08-06
471,44163,9,2011-08-06
472,44164,5,2011-08-06
473,44164,9,2011-08-06
474,44165,5,2011-08-06
475,44165,9,2011-08-06
476,44167,5,2011-08-06
477,44167,9,2011-08-06
478,44168,5,2011-08-07
479,44168,9,2011-08-07
480,44169,5,2011-08-07
481,44169,9,2011-08-07
482,44170,5,2011-08-07
483,44170,9,2011-08-07
484,44171,5,2011-08-07
485,44171,9,2011-08-07
486,44173,5,2011-08-08
487,44173,9,2011-08-08
488,44174,5,2011-08-08
489,44174,9,2011-08-08
490,44175,5,2011-08-08
491,44175,9,2011-08-08
492,44176,5,2011-08-09
493,44176,9,2011-08-09
494,44178,5,2011-08-09
495,44178,9,2011-08-09
496,44181,5,2011-08-09
497,44181,9,2011-08-09
498,44182,5,2011-08-09
499,44182,9,2011-08-09
500,44183,5,2011-08-10
501,44183,9,2011-08-10
502,44184,5,2011-08-10
503,44184,9,2011-08-10
504,44185,5,2011-08-10
505,44185,9,2011-08-10
506,44187,5,2011-08-12
507,44187,9,2011-08-12
508,44191,5,2011-08-13
509,44191,9,2011-08-13
510,44192,5,2011-08-14
511,44192,9,2011-08-14
512,44193,5,2011-08-14
513,44193,9,2011-08-14
514,44194,5,2011-08-14
515,44194,9,2011-08-14
516,44195,5,2011-08-14
517,44195,9,2011-08-14
518,44196,5,2011-08-14
519,44196,9,2011-08-14
520,44197,5,2011-08-15
521,44197,9,2011-08-15
522,44198,5,2011-08-15
523,44198,9,2011-08-15
524,44199,5,2011-08-15
525,44199,9,2011-08-15
526,44200,5,2011-08-15
527,44200,9,2011-08-15
528,44201,5,2011-08-16
529,44201,9,2011-08-16
530,44202,5,2011-08-16
531,44202,9,2011-08-16
532,44203,5,2011-08-16
533,44203,9,2011-08-16
534,44205,5,2011-08-16
535,44205,9,2011-08-16
536,44207,5,2011-08-17
537,44207,9,2011-08-17
538,44209,5,2011-08-17
539,44209,9,2011-08-17
540,44210,5,2011-08-18
541,44210,9,2011-08-18
542,44211,5,2011-08-18
543,44211,9,2011-08-18
544,44212,5,2011-08-18
545,44212,9,2011-08-18
546,44213,5,2011-08-18
547,44213,9,2011-08-18
548,44214,5,2011-08-18
549,44214,9,2011-08-18
550,44215,5,2011-08-19
551,44215,9,2011-08-19
552,44216,5,2011-08-19
553,44216,9,2011-08-19
554,44217,5,2011-08-19
555,44217,9,2011-08-19
556,44218,5,2011-08-19
557,44218,9,2011-08-19
558,44221,5,2011-08-19
559,44221,9,2011-08-19
560,44222,5,2011-08-19
561,44222,9,2011-08-19
562,44223,5,2011-08-20
563,44223,9,2011-08-20
564,44224,5,2011-08-20
565,44224,9,2011-08-20
566,44226,5,2011-08-21
567,44226,9,2011-08-21
568,44230,5,2011-08-21
569,44230,9,2011-08-21
570,44232,5,2011-08-21
571,44232,9,2011-08-21
572,44233,5,2011-08-22
573,44233,9,2011-08-22
574,44234,5,2011-08-22
575,44234,9,2011-08-22
576,44235,5,2011-08-22
577,44235,9,2011-08-22
578,44236,5,2011-08-22
579,44236,9,2011-08-22
580,44237,5,2011-08-22
581,44237,9,2011-08-22
582,44238,5,2011-08-22
583,44238,9,2011-08-22
584,44239,5,2011-08-23
585,44239,9,2011-08-23
586,44240,5,2011-08-23
587,44240,9,2011-08-23
588,44241,5,2011-08-23
589,44241,9,2011-08-23
590,44242,5,2011-08-23
591,44242,9,2011-08-23
592,44243,5,2011-08-23
593,44243,9,2011-08-23
594,44244,5,2011-08-23
595,44244,9,2011-08-23
596,44246,5,2011-08-24
597,44246,9,2011-08-24
598,44247,5,2011-08-24
599,44247,9,2011-08-24
600,44248,5,2011-08-24
601,44248,9,2011-08-24
602,44249,5,2011-08-25
603,44249,9,2011-08-25
604,44250,5,2011-08-25
605,44250,9,2011-08-25
606,44251,5,2011-08-25
607,44251,9,2011-08-25
608,44252,5,2011-08-26
609,44252,9,2011-08-26
610,44253,5,2011-08-26
611,44253,9,2011-08-26
612,44254,5,2011-08-26
613,44254,9,2011-08-26
614,44256,5,2011-08-26
615,44256,9,2011-08-26
616,44257,5,2011-08-27
617,44257,9,2011-08-27
618,44258,5,2011-08-27
619,44258,9,2011-08-27
620,44259,5,2011-08-27
621,44259,9,2011-08-27
622,44260,5,2011-08-27
623,44260,9,2011-08-27
624,44261,5,2011-08-27
625,44261,9,2011-08-27
626,44263,5,2011-08-27
627,44263,9,2011-08-27
628,44264,5,2011-08-27
629,44264,9,2011-08-27
630,44268,5,2011-08-28
631,44268,9,2011-08-28
632,44270,5,2011-08-30
633,44270,9,2011-08-30
634,44271,5,2011-08-30
635,44271,9,2011-08-30
636,44272,5,2011-08-30
637,44272,9,2011-08-30
638,44273,5,2011-08-30
639,44273,9,2011-08-30
640,44274,5,2011-08-30
641,44274,9,2011-08-30
642,44275,5,2011-08-30
643,44275,9,2011-08-30
644,44276,5,2011-08-30
645,44276,9,2011-08-30
646,44277,5,2011-08-30
647,44277,9,2011-08-30
648,44278,5,2011-08-30
649,44278,9,2011-08-30
650,44279,5,2011-08-30
651,44279,9,2011-08-30
652,44320,5,2011-08-31
653,44320,9,2011-08-31
654,44321,5,2011-08-31
655,44321,9,2011-08-31
656,44324,5,2011-09-01
657,44324,9,2011-09-01
658,44326,5,2011-09-01
659,44326,9,2011-09-01
660,44327,5,2011-09-02
661,44327,9,2011-09-02
662,44328,5,2011-09-02
663,44328,9,2011-09-02
664,44329,5,2011-09-02
665,44329,9,2011-09-02
666,44330,5,2011-09-02
667,44330,9,2011-09-02
668,44331,5,2011-09-03
669,44331,9,2011-09-03
670,44332,5,2011-09-03
671,44332,9,2011-09-03
672,44334,5,2011-09-04
673,44334,9,2011-09-04
674,44338,5,2011-09-04
675,44338,9,2011-09-04
676,44339,5,2011-09-04
677,44339,9,2011-09-04
678,44340,5,2011-09-04
679,44340,9,2011-09-04
680,44343,5,2011-09-05
681,44343,9,2011-09-05
682,44344,5,2011-09-06
683,44344,9,2011-09-06
684,44345,5,2011-09-06
685,44345,9,2011-09-06
686,44347,5,2011-09-06
687,44347,9,2011-09-06
688,44348,5,2011-09-07
689,44348,9,2011-09-07
690,44349,5,2011-09-07
691,44349,9,2011-09-07
692,44350,5,2011-09-07
693,44350,9,2011-09-07
694,44351,5,2011-09-07
695,44351,9,2011-09-07
696,44352,5,2011-09-07
697,44352,9,2011-09-07
698,44357,5,2011-09-07
699,44357,9,2011-09-07
700,44358,5,2011-09-07
701,44358,9,2011-09-07
702,44359,5,2011-09-08
703,44359,9,2011-09-08
704,44360,5,2011-09-08
705,44360,9,2011-09-08
706,44361,5,2011-09-08
707,44361,9,2011-09-08
708,44362,5,2011-09-08
709,44362,9,2011-09-08
710,44363,5,2011-09-08
711,44363,9,2011-09-08
712,44365,5,2011-09-08
713,44365,9,2011-09-08
714,44366,5,2011-09-08
715,44366,9,2011-09-08
716,44368,5,2011-09-09
717,44368,9,2011-09-09
718,44369,5,2011-09-09
719,44369,9,2011-09-09
720,44370,5,2011-09-09
721,44370,9,2011-09-09
722,44371,5,2011-09-09
723,44371,9,2011-09-09
724,44372,5,2011-09-09
725,44372,9,2011-09-09
726,44373,5,2011-09-10
727,44373,9,2011-09-10
728,44374,5,2011-09-10
729,44374,9,2011-09-10
730,44375,5,2011-09-10
731,44375,9,2011-09-10
732,44377,5,2011-09-10
733,44377,9,2011-09-10
734,44380,5,2011-09-10
735,44380,9,2011-09-10
736,44381,5,2011-09-11
737,44381,9,2011-09-11
738,44383,5,2011-09-11
739,44383,9,2011-09-11
740,44384,5,2011-09-11
741,44384,9,2011-09-11
742,44385,5,2011-09-11
743,44385,9,2011-09-11
744,44386,5,2011-09-11
745,44386,9,2011-09-11
746,44388,5,2011-09-11
747,44388,9,2011-09-11
748,44389,5,2011-09-11
749,44389,9,2011-09-11
750,44390,5,2011-09-11
751,44390,9,2011-09-11
752,44391,5,2011-09-11
753,44391,9,2011-09-11
754,44392,5,2011-09-11
755,44392,9,2011-09-11
756,44394,5,2011-09-12
757,44394,9,2011-09-12
758,44395,5,2011-09-12
759,44395,9,2011-09-12
760,44398,5,2011-09-12
761,44398,9,2011-09-12
762,44399,5,2011-09-13
763,44399,9,2011-09-13
764,44400,5,2011-09-13
765,44400,9,2011-09-13
766,44401,5,2011-09-13
767,44401,9,2011-09-13
768,44402,5,2011-09-14
769,44402,9,2011-09-14
770,44404,5,2011-09-15
771,44404,9,2011-09-15
772,44405,5,2011-09-15
773,44405,9,2011-09-15
774,44406,5,2011-09-15
775,44406,9,2011-09-15
776,44410,5,2011-09-16
777,44410,9,2011-09-16
778,44411,5,2011-09-16
779,44411,9,2011-09-16
780,44413,5,2011-09-17
781,44413,9,2011-09-17
782,44414,5,2011-09-17
783,44414,9,2011-09-17
784,44415,5,2011-09-17
785,44415,9,2011-09-17
786,44417,5,2011-09-17
787,44417,9,2011-09-17
788,44418,5,2011-09-17
789,44418,9,2011-09-17
790,44419,5,2011-09-17
791,44419,9,2011-09-17
792,44420,5,2011-09-17
793,44420,9,2011-09-17
794,44421,5,2011-09-18
795,44421,9,2011-09-18
796,44423,5,2011-09-18
797,44423,9,2011-09-18
798,44424,5,2011-09-18
799,44424,9,2011-09-18
800,44425,5,2011-09-18
801,44425,9,2011-09-18
802,44426,5,2011-09-19
803,44426,9,2011-09-19
804,44427,5,2011-09-19
805,44427,9,2011-09-19
806,44428,5,2011-09-19
807,44428,9,2011-09-19
808,44429,5,2011-09-19
809,44429,9,2011-09-19
810,44430,5,2011-09-19
811,44430,9,2011-09-19
812,44431,5,2011-09-19
813,44431,9,2011-09-19
814,44432,5,2011-09-20
815,44432,9,2011-09-20
816,44433,5,2011-09-20
817,44433,9,2011-09-20
818,44434,5,2011-09-20
819,44434,9,2011-09-20
820,44435,5,2011-09-21
821,44435,9,2011-09-21
822,44438,5,2011-09-21
823,44438,9,2011-09-21
824,44439,5,2011-09-22
825,44439,9,2011-09-22
826,44440,5,2011-09-22
827,44440,9,2011-09-22
828,44441,5,2011-09-22
829,44441,9,2011-09-22
830,44443,5,2011-09-22
831,44443,9,2011-09-22
832,44444,5,2011-09-24
833,44444,9,2011-09-24
834,44445,5,2011-09-25
835,44445,9,2011-09-25
836,44446,5,2011-09-25
837,44446,9,2011-09-25
838,44447,5,2011-09-26
839,44447,9,2011-09-26
840,44448,5,2011-09-26
841,44448,9,2011-09-26
842,44449,5,2011-09-26
843,44449,9,2011-09-26
844,44450,5,2011-09-26
845,44450,9,2011-09-26
846,44451,5,2011-09-26
847,44451,9,2011-09-26
848,44453,5,2011-09-26
849,44453,9,2011-09-26
850,44454,5,2011-09-26
851,44454,9,2011-09-26
852,44455,5,2011-09-26
853,44455,9,2011-09-26
854,44457,5,2011-09-27
855,44457,9,2011-09-27
856,44458,5,2011-09-27
857,44458,9,2011-09-27
858,44459,5,2011-09-27
859,44459,9,2011-09-27
860,44461,5,2011-09-27
861,44461,9,2011-09-27
862,44462,5,2011-09-28
863,44462,9,2011-09-28
864,44464,5,2011-09-28
865,44464,9,2011-09-28
866,44469,5,2011-09-28
867,44469,9,2011-09-28
868,44470,5,2011-09-28
869,44470,9,2011-09-28
870,44472,5,2011-09-29
871,44472,9,2011-09-29
872,44473,5,2011-09-29
873,44473,9,2011-09-29
874,44476,5,2011-09-29
875,44476,9,2011-09-29
876,44477,5,2011-09-29
877,44477,9,2011-09-29
878,44478,5,2011-09-29
879,44478,9,2011-09-29
880,44572,5,2011-10-01
881,44572,9,2011-10-01
882,44576,5,2011-10-01
883,44576,9,2011-10-01
884,44577,5,2011-10-02
885,44577,9,2011-10-02
886,44578,5,2011-10-02
887,44578,9,2011-10-02
888,44579,5,2011-10-02
889,44579,9,2011-10-02
890,44580,5,2011-10-03
891,44580,9,2011-10-03
892,44583,5,2011-10-03
893,44583,9,2011-10-03
894,44584,5,2011-10-04
895,44584,9,2011-10-04
896,44585,5,2011-10-04
897,44585,9,2011-10-04
898,44586,5,2011-10-04
899,44586,9,2011-10-04
900,44587,5,2011-10-04
901,44587,9,2011-10-04
902,44590,5,2011-10-05
903,44590,9,2011-10-05
904,44592,5,2011-10-05
905,44592,9,2011-10-05
906,44593,5,2011-10-05
907,44593,9,2011-10-05
908,44594,5,2011-10-05
909,44594,9,2011-10-05
910,44596,5,2011-10-05
911,44596,9,2011-10-05
912,44597,5,2011-10-06
913,44597,9,2011-10-06
914,44599,5,2011-10-06
915,44599,9,2011-10-06
916,44600,5,2011-10-06
917,44600,9,2011-10-06
918,44602,5,2011-10-07
919,44602,9,2011-10-07
920,44605,5,2011-10-07
921,44605,9,2011-10-07
922,44606,5,2011-10-07
923,44606,9,2011-10-07
924,44607,5,2011-10-07
925,44607,9,2011-10-07
926,44608,5,2011-10-07
927,44608,9,2011-10-07
928,44609,5,2011-10-07
929,44609,9,2011-10-07
930,44610,5,2011-10-07
931,44610,9,2011-10-07
932,44611,5,2011-10-08
933,44611,9,2011-10-08
934,44612,5,2011-10-08
935,44612,9,2011-10-08
936,44613,5,2011-10-08
937,44613,9,2011-10-08
938,44614,5,2011-10-08
939,44614,9,2011-10-08
940,44615,5,2011-10-08
941,44615,9,2011-10-08
942,44616,5,2011-10-08
943,44616,9,2011-10-08
944,44617,5,2011-10-08
945,44617,9,2011-10-08
946,44618,5,2011-10-08
947,44618,9,2011-10-08
948,44619,5,2011-10-09
949,44619,9,2011-10-09
950,44620,5,2011-10-09
951,44620,9,2011-10-09
952,44621,5,2011-10-09
953,44621,9,2011-10-09
954,44622,5,2011-10-09
955,44622,9,2011-10-09
956,44623,5,2011-10-10
957,44623,9,2011-10-10
958,44625,5,2011-10-10
959,44625,9,2011-10-10
960,44626,5,2011-10-10
961,44626,9,2011-10-10
962,44629,5,2011-10-10
963,44629,9,2011-10-10
964,44630,5,2011-10-11
965,44630,9,2011-10-11
966,44631,5,2011-10-11
967,44631,9,2011-10-11
968,44632,5,2011-10-11
969,44632,9,2011-10-11
970,44633,5,2011-10-11
971,44633,9,2011-10-11
972,44634,5,2011-10-11
973,44634,9,2011-10-11
974,44635,5,2011-10-11
975,44635,9,2011-10-11
976,44636,5,2011-10-12
977,44636,9,2011-10-12
978,44637,5,2011-10-12
979,44637,9,2011-10-12
980,44638,5,2011-10-12
981,44638,9,2011-10-12
982,44640,5,2011-10-12
983,44640,9,2011-10-12
984,44641,5,2011-10-12
985,44641,9,2011-10-12
986,44643,5,2011-10-13
987,44643,9,2011-10-13
988,44644,5,2011-10-13
989,44644,9,2011-10-13
990,44647,5,2011-10-13
991,44647,9,2011-10-13
992,44651,5,2011-10-14
993,44651,9,2011-10-14
994,44654,5,2011-10-14
995,44654,9,2011-10-14
